date,ticker,shares_outstanding,nav
2025-09-10,EWZ,184650000,
2025-09-11,EWJ,195150000,
2025-09-11,EWY,70200000,
2025-09-11,EWZ,184650000,
2025-09-12,EWJ,195150000,
2025-09-12,EWY,70200000,
2025-09-12,EWZ,184650000,
2025-09-15,EWJ,195150000,
2025-09-15,EWY,70200000,
2025-09-15,EWZ,184650000,
2025-09-16,EWJ,195150000,
2025-09-16,EWY,70200000,
2025-09-16,EWZ,184650000,
2025-09-17,EWJ,194250000,
2025-09-17,EWY,70200000,
2025-09-17,EWZ,184650000,
2025-09-18,EWJ,194250000,
2025-09-18,EWY,70200000,
2025-09-18,EWZ,184650000,
2025-09-19,EWJ,194250000,
2025-09-19,EWY,70200000,
2025-09-19,EWZ,184650000,
2025-09-22,EWJ,194250000,
2025-09-22,EWY,70200000,
2025-09-22,EWZ,183950000,
2025-09-23,EWJ,194250000,
2025-09-23,EWY,70200000,
2025-09-23,EWZ,183950000,
2025-09-24,EWJ,194250000,
2025-09-24,EWY,70200000,
2025-09-24,EWZ,183950000,
2025-09-25,EWJ,193350000,
2025-09-25,EWY,70200000,
2025-09-25,EWZ,183950000,
2025-09-26,EWJ,190050000,
2025-09-26,EWY,70200000,
2025-09-26,EWZ,183950000,
2025-09-29,EWJ,190050000,
2025-09-29,EWY,70200000,
2025-09-29,EWZ,183950000,
2025-09-30,EWJ,190050000,
2025-09-30,EWY,70200000,
2025-09-30,EWZ,183950000,
2025-10-01,EWJ,190200000,
2025-10-01,EWY,70600000,
2025-10-01,EWZ,188450000,
2025-10-02,EWJ,190200000,
2025-10-02,EWY,70600000,
2025-10-02,EWZ,190850000,
2025-10-03,EWJ,190200000,
2025-10-03,EWY,70600000,
2025-10-03,EWZ,190850000,
2025-10-06,EWJ,190200000,
2025-10-06,EWY,70600000,
2025-10-06,EWZ,193250000,
2025-10-07,EWJ,192150000,
2025-10-07,EWY,70600000,
2025-10-07,EWZ,193250000,
2025-10-08,EWJ,192150000,
2025-10-08,EWY,70600000,
2025-10-08,EWZ,193250000,
2025-10-09,EWJ,185100000,
2025-10-09,EWY,70600000,
2025-10-09,EWZ,193250000,
2025-10-10,EWJ,185100000,
2025-10-10,EWY,70600000,
2025-10-10,EWZ,193250000,
2025-10-13,EWJ,185100000,
2025-10-13,EWY,71000000,
2025-10-13,EWZ,193250000,
2025-10-14,EWJ,185100000,
2025-10-14,EWY,71000000,
2025-10-14,EWZ,193250000,
2025-10-15,EWJ,185100000,
2025-10-15,EWY,71000000,
2025-10-15,EWZ,193250000,
2025-10-16,EWJ,185100000,
2025-10-16,EWY,71000000,
2025-10-16,EWZ,193250000,
2025-10-17,EWJ,185100000,
2025-10-17,EWY,71000000,
2025-10-17,EWZ,193250000,
2025-10-20,EWJ,185100000,
2025-10-20,EWY,71650000,
2025-10-20,EWZ,193250000,
2025-10-21,EWJ,185100000,
2025-10-21,EWY,71650000,
2025-10-21,EWZ,193250000,
2025-10-22,EWJ,185100000,
2025-10-22,EWY,71650000,
2025-10-22,EWZ,193250000,
2025-10-23,EWJ,185100000,
2025-10-23,EWY,71650000,
2025-10-23,EWZ,193250000,
2025-10-24,EWJ,185850000,
2025-10-24,EWY,71650000,
2025-10-24,EWZ,193250000,
2025-10-27,EWJ,185850000,
2025-10-27,EWY,71650000,
2025-10-27,EWZ,193250000,
2025-10-28,EWJ,185850000,
2025-10-28,EWY,71800000,
2025-10-28,EWZ,193250000,
